Season,batter,pitcher,events,stand,launch_speed,launch_angle,adjusted_angle,home_team
2026,681134,670970,field_out,L,79.3,-21,-4.48321636402729,AZ
2026,807957,670970,fielders_choice_out,R,109.1,-27,-36.54054572198025,AZ
2026,678099,670970,sac_bunt,L,31.9,15,26.139595287821102,AZ
2026,810838,595928,field_out,R,104.5,8,28.274570422740382,AZ
2026,703804,805299,double,L,103.0,1,45.084962673588976,AZ
2026,669256,805299,sac_fly,R,95.9,37,32.91965981281571,AZ
2026,669200,805299,single,R,76.2,-63,-25.956559945191486,AZ
2026,677578,805299,field_out,L,95.8,-29,4.413381214440143,AZ
2026,800712,699134,field_out,L,74.2,4,-37.32628505548126,AZ
2026,702258,699134,field_out,R,74.9,-9,-20.27716044768948,AZ
2026,807267,699134,field_error,L,96.6,-10,-22.97406346930014,AZ
2026,808768,699134,field_out,L,90.7,-2,-23.48658004006236,AZ
2026,669134,623149,field_out,R,96.1,18,7.073602948394629,AZ
2026,678010,623149,triple,L,94.2,29,7.023848115329536,AZ
2026,592206,623149,field_out,R,94.2,26,32.896825737869506,AZ
2026,678489,688158,field_out,L,102.6,32,-2.816972702447857,AZ
2026,605244,688158,field_out,R,98.4,42,6.215835969189195,AZ
2026,545121,688158,field_out,L,,,-41.969909911480286,AZ
2026,657757,642528,field_out,L,104.9,-34,-44.59615978355103,AZ
2026,666023,642528,single,R,91.8,18,11.061946190146369,AZ
2026,630105,642528,single,L,88.6,13,-4.287323506789481,AZ
2026,669200,642528,field_out,R,85.1,28,3.206508082534237,AZ
2026,677950,681190,field_out,L,90.1,36,16.616601001100882,AZ
2026,682998,681190,field_out,L,87.6,25,-9.067175485008686,AZ
2026,800712,681190,field_out,L,88.8,72,35.82130123280957,AZ
2026,702258,808052,force_out,R,71.3,-17,25.649261369825357,AZ
2026,807267,681190,field_out,L,103.7,21,-34.06302095343755,AZ
2026,808768,681190,single,L,106.5,0,1.9432094556542352,AZ
2026,678489,681190,triple,L,95.6,35,46.41841912506945,AZ
2026,605244,681190,single,R,65.5,30,-2.9410505548951913,AZ
2026,545121,681190,single,L,96.5,10,-12.185691990481217,AZ
2026,592206,694297,field_out,R,103.4,-6,-17.777170140654402,AZ
2026,657757,694297,field_out,L,108.0,-5,17.777170140654402,AZ
2026,666023,694297,field_out,R,93.6,-28,-12.509085398665682,AZ
2026,702258,681190,field_out,R,75.2,-1,36.79994302280734,AZ
2026,630105,694297,field_out,L,79.4,-3,-43.68960468375011,AZ
2026,669392,694297,field_out,R,92.7,-3,25.020216089728773,AZ
2026,807267,681190,field_out,L,90.4,51,38.806615978293316,AZ
